o,config,Reward held-out,SLA,Makespan,Latencia P95,Throughput,Tamaño,FLOPs,Score total
1,32 / cpu / 256,0.15290295598285153,0.0,0.1004065268815146,0.07195196225856498,0.4468167835377639,0.0931331172532332,0.07895282108592881,0.944164166999857
1,32 / cuda / 512,0.10108198528905266,0.0,0.05526781924571207,0.07130356686524987,0.3481305822302869,0.09089737367546614,0.0780110547129909,0.7446923820187585
1,32 / cuda / 1024,0.10438177119933785,0.0,0.08836080530017931,0.07146389650581546,0.3107482343305978,0.08204006003787556,0.07427534123877619,0.7312701086125822
1,32 / cuda / 256,0.13208659246889087,0.0,0.05147646574956958,0.07101497366777197,0.2566910525521048,0.0931331172532332,0.07895282108592881,0.68335502277749931,
1,32 / cpu / 512,0.14376628941426597,0.0,0.07570660757004909,0.0720306657364212,0.2170983425115222,0.09089737367546614,0.0780110547129909,0.6775103336207154
1,32 / cuda / 2048,0.12359864755334232,0.0,0.09864017378938184,0.0712404370765681,0.1909893227384382,0.04678212683446854,0.05939519137699136,0.5906458993691903
1,16 / cuda / 256,0.08471600853732755,0.0,0.10411954132093172,0.07070500310711524,0.14716719212781557,0.09352004026924106,0.07895282108592881,0.57918060644836
1,16 / cuda / 2048,0.15544939337391292,0.0,0.05364324700378394,0.07057707349494768,0.16439368178907568,0.07034454505985872,0.05939519137699136,0.5738031320985704
1,16 / cuda / 1024,0.08584344999006593,0.0,0.03612534967315551,0.07075844624286702,0.16091586990238022,0.08797351166156223,0.07427534123877619,0.5158919687088072
1,8 / cpu / 1024,0.15370585560663635,0.0,0.1262948882109092,0.0662910126887436,0.0035708508601605417,0.09094023747340556,0.07427534123877619,0.5150781860786315
1,32 / cpu / 1024,0.09639145178202345,0.0,0.07238965485348625,0.071537245192218,0.08053888388642469,0.08204006003787556,0.07427534123877619,0.47717263699080414
1,16 / cuda / 512,0.0,0.0,0.08611671238670479,0.07074742357764782,0.14837579709007373,0.09240216848035752,0.0780110547129909,0.47565315624777477
1,8 / cpu / 256,0.1218623471526426,0.0,0.054633144461553276,0.06927038730103696,0.03737759703903951,0.09371350177724497,0.07895282108592881,0.45580979881744615
1,8 / cpu / 2048,0.16904013839778653,0.0,0.1394460894648546,0.0,0.0,0.0821257541725538,0.05939519137699136,0.45000717341218627
1,32 / cpu / 2048,0.018113118190784736,0.0,0.08504539367981435,0.06935066695219186,0.025202185257851475,0.04678212683446854,0.05939519137699136,0.3038886822921023
1,16 / cuda / 4096,0.06989721628481615,0.0,0.10799437086112584,0.06787318184649722,0.05640005372769668,0.0,0.0,0.3021648227201359
1,8 / cpu / 512,0.04566251092589868,0.0,0.0,0.06937132398545216,0.01433890472024,0.09315456588280321,0.0780110547129909,0.30053836022738495
